Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type Num,Strain [minNm]
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,0,5779.2
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,2,6281.400000000001
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,0,7177.900000000001
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,1,8688.0
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,0,7341.599999999999
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,0,7942.200000000001
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1,7068.8
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,1,7831.0
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,0,5238.0
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,0,7095.200000000001
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2,3920.4
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,1,9338.0
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2,8961.0
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,1,8440.0
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,0,10058.0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,0,13111.2
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,0,11401.4
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,0,0.0
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,1,87.6
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,1,218.0
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,0,208.0
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,2,326.0
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2,643.5
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,0,1246.0
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,0,1300.2
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,1,840.0
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,0,1371.6
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,1,603.2
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,1,1078.4
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,0,2040.5
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,0,1609.5
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,0,1353.3000000000002
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,0,877.4
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,0,2158.6
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,0,2241.0
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,0,2345.2999999999997
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,2,1185.8
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,1,2597.4
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,0,2319.9
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,0,1805.4
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,0,2330.2000000000003
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,0,3528.0
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,0,2801.5
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,0,2251.2000000000003
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,1,2994.6
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,0,3592.7999999999997
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,0,2560.4
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,2,3936.7999999999997
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,2,2802.6
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,1,920.1999999999999
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,0,3818.1
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,2,4504.5
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,1,3926.3999999999996
L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,0,3465.0
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,0,4757.1
L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,0,3605.0
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,0,4326.0
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,1,3819.9
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,0,4169.0
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,0,3673.5999999999995
M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,1,6042.0
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,0,4130.099999999999
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,1,7223.3
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,0,4477.400000000001
L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,0,5456.0
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,0,4548.6
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,0,4339.2
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,2,6877.0
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,0,6061.5
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,1,5082.7
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,0,5642.0
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,0,5438.599999999999
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,0,4550.400000000001
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,0,5562.6
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,1,6837.6
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,0,7957.700000000001
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,2,3717.9
L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,0,7110.0
L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,0,5504.0
L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,0,4746.6
L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,0,8823.199999999999
L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,0,8167.200000000001
L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,0,6064.8
M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,1,6307.0
L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,0,5570.6
L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,0,6089.999999999999
L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,0,7628.7
L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,0,8520.4
L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,0,6316.9
L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,0,7850.7
M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,1,6234.500000000001
L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,0,7275.6
M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,1,6954.0
L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,0,9707.9
L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,0,5967.0
M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,1,10165.2
L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,0,4860.0
L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,0,11877.599999999999
L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,0,8996.4
M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,1,10114.6
M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,1,6562.599999999999
L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,0,7102.0
L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,0,9737.0
L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,0,12268.8
L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,0,12251.6
L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,0,0.0
M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,1,85.2
L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,0,179.0
L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,0,337.40000000000003
L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,0,341.09999999999997
L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,0,444.4
L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,0,819.0
L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,0,442.5
L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,0,644.3
M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,1,1214.1
M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,1,1080.2
L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,0,802.5
M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,1,723.6
M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,1,968.9999999999999
L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,0,1567.5
L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,0,1298.5
H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,2,1616.9
L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,0,886.2
H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,2,1091.2
L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,0,1813.0
H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,2,2019.6000000000001
M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,1,2284.7999999999997
L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,0,2383.6
L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,0,2806.0
L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,0,1795.5
L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,0,3555.5
M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,1,1782.2
H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,2,3549.0
M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,1,2205.0
L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,0,1825.1999999999998
M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,1,3496.0
L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,0,3029.5
M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,1,4233.0
L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,0,3784.0
L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,0,1728.0
L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,0,3312.0
L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,0,3120.8
L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,0,3033.6000000000004
H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,2,4135.6
L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,0,4810.1
L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,0,4788.0
L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,0,4558.2
L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,0,4381.8
H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,2,4972.799999999999
M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,1,5927.6
M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,1,3653.2999999999997
L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,0,5636.400000000001
L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,0,3137.2000000000003
H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,2,2356.2
M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,1,4663.6
L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,0,5132.2
L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,0,3685.6000000000004
H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,2,4843.8
M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,1,6220.5
L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,0,4015.0
L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,0,2841.6
L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,0,7065.0
M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,1,5563.2
L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,0,7316.0
M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,1,6405.599999999999
H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,2,6688.0
M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,1,7276.5
L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,0,6048.0
L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,0,8636.0
M,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,1,9116.0
L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,0,7105.0
L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,0,5876.400000000001
L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,0,5083.599999999999
L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,0,7221.9
L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,0,5874.3
H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,2,7067.000000000001
L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,0,6175.0
L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,0,7680.0
L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,0,8982.199999999999
M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,1,8212.4
L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,0,5532.2
L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,0,8321.4
L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,0,11510.1
H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,2,6437.0
H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,2,6279.0
M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,1,9008.5
M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,1,11314.199999999999
M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,1,0.0
L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,0,93.9
M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,1,224.0
L,297.4,308.1,1749,25.9,8,0,0,0,0,0,0,0,207.2
M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,1,205.0
L,297.6,308.3,1742,27.7,13,0,0,0,0,0,0,0,360.09999999999997
L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,0,573.0
M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0,1,547.4000000000001
L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,0,788.0
M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,1,717.2
L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,0,1162.5
L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,0,1312.2
M,297.5,308.2,2448,13.8,29,0,0,0,0,0,0,1,400.20000000000005
L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,0,1052.8
M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0,1,1536.8000000000002
L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0,0,1509.6
L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0,0,1236.3
L,297.6,308.3,1595,34.3,41,0,0,0,0,0,0,0,1406.3
H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,2,1904.8999999999999
M,297.6,308.4,1611,31.0,48,0,0,0,0,0,0,1,1488.0
M,297.6,308.4,1507,46.0,51,0,0,0,0,0,0,1,2346.0
H,297.5,308.3,1674,30.0,54,0,0,0,0,0,0,2,1620.0
L,297.6,308.3,1658,34.3,59,0,0,0,0,0,0,0,2023.6999999999998
L,297.6,308.3,1623,36.9,61,0,0,0,0,0,0,0,2250.9
M,297.6,308.4,1398,48.9,63,0,0,0,0,0,0,1,3080.7
